name,websites,emails,phones,gmaps link,complete address
El Camino Inn,http://www.elcaminoinn.com/,elcaminoinndalycity@gmail.com,+1 650-755-8667,https://www.google.com/maps/place/El+Camino+Inn/data=!4m10!3m9!1s0x808f7c0c12e675a1:0x930e0b3f69591cff!5m2!4m1!1i2!8m2!3d37.6875041!4d-122.4650689!16s%2Fg%2F1vgw8vwv!19sChIJoXXmEgx8j4AR_xxZaT8LDpM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"7525 Mission St, Daly City, CA 94014, United States"
Travelers Inn,http://www.travelersinnonline.com/,Travelersinn100@gmail.com,+1 650-755-9556,https://www.google.com/maps/place/Travelers+Inn/data=!4m10!3m9!1s0x808f7be0ac6b60b7:0xc6fcfcdc1d9170d3!5m2!4m1!1i2!8m2!3d37.667011!4d-122.452178!16s%2Fg%2F1tgcs32m!19sChIJt2BrrOB7j4AR03CRHdz8_MY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"100 Hickey Blvd, South San Francisco, CA 94080, United States"
Travelodge by Wyndham San Francisco Airport North,https://airportsfotravelodge.com/,,+1 650-741-4222,https://www.google.com/maps/place/Travelodge+by+Wyndham+San+Francisco+Airport+North/data=!4m10!3m9!1s0x808f79b5956fe049:0x23a043870d5c4245!5m2!4m1!1i2!8m2!3d37.6452793!4d-122.4052899!16s%2Fg%2F1tgfww5g!19sChIJSeBvlbV5j4ARRUJcDYdDoCM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"326 S Airport Blvd, South San Francisco, CA 94080, United States"
Alpine Inn & Suites,https://www.alpineinnsuites.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,forms@tambourine.com,+1 415-334-6969,https://www.google.com/maps/place/Alpine+Inn+%26+Suites/data=!4m10!3m9!1s0x808f7ec7583424a5:0x4a2cd584b61a9545!5m2!4m1!1i2!8m2!3d37.7084331!4d-122.4249503!16s%2Fg%2F1txfpcy8!19sChIJpSQ0WMd-j4ARRZUatoTVLEo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"560 Carter St, Daly City, CA 94014, United States"
BridgePoint Inn Daly City,http://www.bridgepointinn.com/,,+1 415-467-5600,https://www.google.com/maps/place/BridgePoint+Inn+Daly+City/data=!4m10!3m9!1s0x808f7ed146fba4ff:0x160e8d5dfa13c174!5m2!4m1!1i2!8m2!3d37.7052803!4d-122.4080384!16s%2Fg%2F1tgcs337!19sChIJ_6T7RtF-j4ARdMET-l2NDhY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"3255 Geneva Ave, Daly City, CA 94014, United States"
Hampton Inn San Francisco-Daly City,https://www.hilton.com/en/hotels/sfodchx-hampton-san-francisco-daly-city/?SEO_id=GMB-AMER-HX-SFODCHX,,+1 650-755-7500,https://www.google.com/maps/place/Hampton+Inn+San+Francisco-Daly+City/data=!4m10!3m9!1s0x808f7c6d11491ce3:0x336775bd45eae544!5m2!4m1!1i2!8m2!3d37.690966!4d-122.4717396!16s%2Fg%2F1thsrm6c!19sChIJ4xxJEW18j4ARROXqRb11ZzM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"2700 Junipero Serra Blvd, Daly City, CA 94015, United States"
Royal Inn,https://www.royalinnsfo.com/,,+1 650-755-0724,https://www.google.com/maps/place/Royal+Inn/data=!4m10!3m9!1s0x808f7be756424447:0x42210b78a086dc32!5m2!4m1!1i2!8m2!3d37.6665852!4d-122.4528284!16s%2Fg%2F1thnn_t4!19sChIJR0RCVud7j4ARMtyGoHgLIUI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"120 Hickey Blvd, South San Francisco, CA 94080, United States"
Geneva Motel,http://www.genevamoteldalycity.com/,,+1 415-467-5626,https://www.google.com/maps/place/Geneva+Motel/data=!4m10!3m9!1s0x808f7ed11562897f:0x2e6d6e22ae179d6e!5m2!4m1!1i2!8m2!3d37.7052431!4d-122.4084701!16s%2Fg%2F1xb2dtd_!19sChIJf4liFdF-j4ARbp0XriJubS4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"3233 Geneva Ave, Daly City, CA 94014, United States"
Mylo Hotel,https://www.mylohotel.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,res@mylohotel.com,+1 415-467-4200,https://www.google.com/maps/place/Mylo+Hotel/data=!4m10!3m9!1s0x808f7ed116c8f923:0x7fa633ab81cc895e!5m2!4m1!1i2!8m2!3d37.7054241!4d-122.4088185!16s%2Fg%2F11bx1qg47f!19sChIJI_nIFtF-j4ARXonMgaszpn8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"3211 Geneva Ave, Daly City, CA 94014, United States"
Deluxe Inn,https://www.deluxeinnsfo.com/,,+1 650-583-2408,https://www.google.com/maps/place/Deluxe+Inn/data=!4m10!3m9!1s0x808fb0cd730ed461:0x533c5e59bd6cc7ff!5m2!4m1!1i2!8m2!3d37.653386!4d-122.4322636!16s%2Fg%2F1hc20y3gz!19sChIJYdQOc82wj4AR_8dsvVlePFM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"920 El Camino Real, South San Francisco, CA 94080, United States"
