name,websites,emails,phones,gmaps link,complete address
Dale’s,https://www.facebook.com/DalesSouthaven/,,+1 662-393-2060,https://www.google.com/maps/place/Dale%E2%80%99s/data=!4m7!3m6!1s0x87d56263ab12996d:0x2855afb8bb934433!8m2!3d34.9921543!4d-90.0117266!16s%2Fg%2F1thcn9ds!19sChIJbZkSq2Ni1YcRM0STu7ivVSg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"1226 Main St, Southaven, MS 38671, United States"
Wadford's Rooftop Grille,https://wadfords.com/,,+1 662-510-4923,https://www.google.com/maps/place/Wadford%27s+Rooftop+Grille/data=!4m7!3m6!1s0x887f8b7cb64af749:0x36a73bfed944b3b!8m2!3d34.9492149!4d-89.9362564!16s%2Fg%2F11wfpn8p1x!19sChIJSfdKtnyLf4gRO0uU7b9zagM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"6080 Getwell Rd Ste 400, Southaven, MS 38672, United States"
Pho Haven Vietnamese Cuisine - Southcrest Pkwy,https://phohaven.life/,,+1 662-510-8118,https://www.google.com/maps/place/Pho+Haven+Vietnamese+Cuisine+-+Southcrest+Pkwy/data=!4m7!3m6!1s0x887f89fdef7a5bdf:0xaf8e40d6f2f47d19!8m2!3d34.963996!4d-89.995738!16s%2Fg%2F11zg9fvbp1!19sChIJ31t67_2Jf4gRGX308tZAjq8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"7111 Southcrest Pkwy Ste 101, Southaven, MS 38671, United States"
Chicago plate,https://chicagoplate.com/,,+1 662-470-4421,https://www.google.com/maps/place/Chicago+plate/data=!4m7!3m6!1s0x887f89e7b1b62b27:0xb387dd4245201f7a!8m2!3d34.9641263!4d-89.987848!16s%2Fg%2F11nv9v4s7p!19sChIJJyu2seeJf4gReh8gRULdh7M?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"7075 Malco Blvd, Southaven, MS 38671, United States"
LA 91,https://la91.toast.site/,,+1 662-772-9436,https://www.google.com/maps/place/LA+91/data=!4m7!3m6!1s0x887f892513c42295:0xa609eebf5d6c3286!8m2!3d34.9641055!4d-89.9864525!16s%2Fg%2F11xd1s7sm2!19sChIJlSLEEyWJf4gRhjJsXb_uCaY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"7090 Malco Blvd Ste 113, Southaven, MS 38671, United States"
Huey's Southaven,https://hueyburger.com/,,+1 662-349-7097,https://www.google.com/maps/place/Huey%27s+Southaven/data=!4m7!3m6!1s0x887f89ee6002cb2d:0x83e4b9201b0da851!8m2!3d34.9637145!4d-89.9865036!16s%2Fg%2F1tcw8ynt!19sChIJLcsCYO6Jf4gRUagNGyC55IM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"7090 Malco Blvd, Southaven, MS 38671, United States"
The Country Skillet,https://www.facebook.com/thecountryskillet/,,+1 662-280-2060,https://www.google.com/maps/place/The+Country+Skillet/data=!4m7!3m6!1s0x87d56263b5756979:0x6b4dcc19b96502d9!8m2!3d34.9913574!4d-90.0124715!16s%2Fg%2F1tjrqj1t!19sChIJeWl1tWNi1YcR2QJluRnMTWs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"In DeSoto Plaza, 1283 Main St, Southaven, MS 38671, United States"
Yakiniku,https://yakinikusouthaven.com/,,+1 662-510-8288,https://www.google.com/maps/place/Yakiniku/data=!4m7!3m6!1s0x887f89b5853d4bd1:0xb4e50fe2d9396df4!8m2!3d34.9581442!4d-89.9905444!16s%2Fg%2F11tckz6wm7!19sChIJ0Us9hbWJf4gR9G052eIP5bQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"6685 Airways Blvd, Southaven, MS 38671, United States"
Juicy Seafood & Bar - Southaven,https://www.juicyseafoodsouthaven.com/,info@juicyseafoodsouthaven.com,+1 662-510-2028,https://www.google.com/maps/place/Juicy+Seafood+%26+Bar+-+Southaven/data=!4m7!3m6!1s0x87d563fd87e2f549:0xf2cda3d5b6336258!8m2!3d34.9612289!4d-89.9745576!16s%2Fg%2F11fsk5kyw7!19sChIJSfXih_1j1YcRWGIzttWjzfI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"775 Goodman Rd E, Southaven, MS 38671, United States"
"Halal Mediterranean bakery, grocery&restaurant.",,,+1 662-470-6131,"https://www.google.com/maps/place/Halal+Mediterranean+bakery,+grocery%26restaurant./data=!4m7!3m6!1s0x887f8932a0cd4a53:0xd4b15e2d90341ee9!8m2!3d34.9591116!4d-89.9907481!16s%2Fg%2F11tby115r_!19sChIJU0rNoDKJf4gR6R40kC1esdQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1","6717 Airways Blvd Ste.101, Southaven, MS 38671, United States"
