name,websites,emails,phones,gmaps link,complete address
Costa Méxican Restaurant,https://costamexicanbargrillatoxfordmsms.com/,,+1 662-489-2470,https://www.google.com/maps/place/Costa+M%C3%A9xican+Restaurant/data=!4m7!3m6!1s0x8880bccad618909b:0x55fbc17ef4fef004!8m2!3d34.3415903!4d-89.038976!16s%2Fg%2F11cnp8kf88!19sChIJm5AY1sq8gIgRBPD-9H7B-1U?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"6607 MS-15, Ecru, MS 38841, United States"
Main Street Trolley,,,+1 662-488-8070,https://www.google.com/maps/place/Main+Street+Trolley/data=!4m7!3m6!1s0x8880a367dd4e2e77:0x682573107d90657!8m2!3d34.350537!4d-89.0298707!16s%2Fg%2F1tfgq4hz!19sChIJdy5O3WejgIgRVwbZBzFXggY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"222 Main St, Ecru, MS 38841, United States"
Zuby's Cafe,https://www.zubyscafe.com/,,+1 662-200-2308,https://www.google.com/maps/place/Zuby%27s+Cafe/data=!4m7!3m6!1s0x8880a3cc14f1bd79:0x961585f5a7765305!8m2!3d34.3509781!4d-89.026091!16s%2Fg%2F11rmm__d5w!19sChIJeb3xFMyjgIgRBVN2p_WFFZY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"405 Main St, Ecru, MS 38841, United States"
McCoy's Grocery,,,+1 662-489-3161,https://www.google.com/maps/place/McCoy%27s+Grocery/data=!4m7!3m6!1s0x8880a368478e55dd:0xad816c42eedba508!8m2!3d34.3506698!4d-89.0270462!16s%2Fg%2F1tp0ffbm!19sChIJ3VWOR2ijgIgRCKXb7kJsga0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"338 Main St, Ecru, MS 38841, United States"
Krispy Krunchy Chicken,https://www.krispykrunchy.com/,,+1 662-200-2160,https://www.google.com/maps/place/Krispy+Krunchy+Chicken/data=!4m7!3m6!1s0x8880a3a767b74b63:0x2d623ce568eaa0dc!8m2!3d34.3770165!4d-89.0238999!16s%2Fg%2F11vz0064xz!19sChIJY0u3Z6ejgIgR3KDqaOU8Yi0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"5755 MS-15, Ecru, MS 38841, United States"
HWY 41 Steak And Fish,https://hwy41steakandfish.gbis.shop/,,+1 662-489-5640,https://www.google.com/maps/place/HWY+41+Steak+And+Fish/data=!4m7!3m6!1s0x8880b90981000003:0x67bab3feb4cdb2b1!8m2!3d34.17681!4d-88.952662!16s%2Fg%2F11hc_yk_lr!19sChIJAwAAgQm5gIgRsbLNtP6zumc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"4390 MS-41, Pontotoc, MS 38863, United States"
Rockin' Hoptown,,,+1 662-419-1051,https://www.google.com/maps/place/Rockin%27+Hoptown/data=!4m7!3m6!1s0x8880a363a55ffa71:0xd70857cb3d9b6dd7!8m2!3d34.3567717!4d-89.0209298!16s%2Fg%2F1q6cs83h7!19sChIJcfpfpWOjgIgR122bPctXCNc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"253 Cemetery Rd, Ecru, MS 38841, United States"
Bleu Collar Sandwich Co.,https://www.facebook.com/share/15Njt9nxky/?mibextid=wwXIfr,,+1 662-401-4073,https://www.google.com/maps/place/Bleu+Collar+Sandwich+Co./data=!4m7!3m6!1s0x8880bb0041f855cb:0xaa37687abe188ab7!8m2!3d34.2494185!4d-88.9985112!16s%2Fg%2F11x60kcjgh!19sChIJy1X4QQC7gIgRt4oYvnpoN6o?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"102 N Liberty St, Pontotoc, MS 38863, United States"
Ecru truck stop,,,+1 662-200-2160,https://www.google.com/maps/place/Ecru+truck+stop/data=!4m7!3m6!1s0x8880a3c812bdfebf:0xbf5b6172663053a0!8m2!3d34.3273425!4d-89.0404753!16s%2Fg%2F11tmh2zhwr!19sChIJv_69EsijgIgRoFMwZnJhW78?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"5575 MS-15, Ecru, MS 38841, United States"
Mi Pueblo in Pontotoc,http://mi-pueblo-in-pontotoc.edan.io/,,+1 662-488-0023,https://www.google.com/maps/place/Mi+Pueblo+in+Pontotoc/data=!4m7!3m6!1s0x8880bc75be1bb525:0x679321090d27e73!8m2!3d34.2662129!4d-89.0208736!16s%2Fg%2F1tfqgkmq!19sChIJJbUbvnW8gIgRc37SkBAyeQY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,"335 MS-15, Pontotoc, MS 38863, United States"
